term,variant,Lemma_1,Lemma_2,source,same_as:National_Library_of_Poland,same_as:Wikidata
transakcentacja meliczna,,transakcentacja meliczny,,Słownik terminów literackich (Sierotwiński),,
transcendencja,,transcendencja,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
transcendentalny,,transcendentalny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
transcendentny,,transcendentny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
transformacja,,transformacja,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
transgressio,,transgressio,,Słownik Terminów Literackich (Głowiński),,
transkrypcja,,transkrypcja,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
translatio,,translatio,,Słownik terminów literackich (Sierotwiński),,
transliteracja,,transliteracja,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
transmisja,,transmisja,,Słownik pojęć i tekstów kultury,,
transpozycja,,transpozycja,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
transpozycja dzieła,,transpozycja dzieło,,Słownik terminów literackich (Sierotwiński),,
transpozycja wrażeń,,transpozycja wrażenie,,Słownik terminów literackich (Sierotwiński),,
tranzycje,,tranzycje,,Słownik Terminów Literackich (Głowiński),,
tratado técnico e didáctico,,tratado técnico e didáctico,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
trauma,,trauma,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
trawestacja,,trawestacja,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
trawestacja gwarowa,,trawestacja gwarowa,,Słownik terminów literackich (Sierotwiński),,
tṛca,tricza,tṛca,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
treatment,,treatment,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
trecento,,trecento,,Słownik Terminów Literackich (Głowiński),,
treidelgesänge,,treidelgesängy,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
tren,,tren,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810662142505606,http://www.wikidata.org/entity/Q109269011
treść,,treść,,Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Słownik polskiej krytyki literackiej 1764-1918 | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
treść dzieła,,treść dzieło,,Słownik terminów literackich (Sierotwiński),,
treść i forma,,treść i forma,,Słownik pojęć i tekstów kultury,,
treść jawna marzenia sennego,,treść jawny marzenie senny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
triada stroficzna,,triada stroficzny,,Słownik Terminów Literackich (Głowiński),,
triady,,triada,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
trik,,trik,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
triolet,,triolet,,Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
trionfo,,trionfo,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
tripodeforikon,,tripodeforikon,,Słownik Terminów Literackich (Głowiński),,
tristia,,tristia,,"Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
tritagonista,,tritagonisty,,Słownik terminów teatralnych (Patrice Pavis),,
trivium,,trivium,,Słownik terminów literackich (Sierotwiński),,
trobar clar,,trobar clar,,Słownik Terminów Literackich (Głowiński),,
trobar clus,,trobar clus,,Słownik Terminów Literackich (Głowiński),,
trobar ric,,trobar ric,,Słownik Terminów Literackich (Głowiński),,
trochej,,trochej,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
trocheje wolne,,trocheć wolny,,Słownik terminów literackich (Sierotwiński),,
trop,,trop,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Ilustrowany słownik terminów literackich | Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik literatury polskiej | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
troparion,,troparion,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
tropika,,tropik,,Słownik terminów literackich (Sierotwiński),,
tropología,,tropología,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
tropología marzenia sennego,,tropología marzenie senny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
trójjedyna chorea,,trójjedyna chorea,,Słownik Terminów Literackich (Głowiński),,
trójstopowiec,,trójstopowiec,,Słownik terminów literackich (Sierotwiński),,
trójwers,,trójwers,,Słownik terminów literackich (Sierotwiński),,
trójzestrojowiec,,trójzestrojowiec,,Słownik Terminów Literackich (Głowiński),,
trójzgłoskowiec,,trójzgłoskowiec,,Słownik terminów literackich (Sierotwiński),,
trubadurzy,,trubadur,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury,http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810560605105606,http://www.wikidata.org/entity/Q108393706
trupa teatralna,,trup teatralny,,Słownik pojęć i tekstów kultury,,
truwerzy,,truwer,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury,,
trwoga,,trwoga,,Słownik terminów teatralnych (Patrice Pavis),,
trybrach,,trybrach,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
tryczna,,tryczny,,Słownik Terminów Literackich (Głowiński),,
trykolon,,trykolon,,Słownik Terminów Literackich (Głowiński),,
trylogia,,trylogia,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
trymakr,,trymakr,,Słownik terminów literackich (Sierotwiński),,
trymetr,,trymetr,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
trypodia,,trypodia,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
trystie,,trystia,,Słownik terminów literackich (Sierotwiński),,
trywializm,,trywializm,,Słownik terminów literackich (Sierotwiński),,
trzeci obieg,,trzeci obieg,,Słownik Terminów Literackich (Głowiński),,
trzy fale feminizmu,,trzy fala feminizm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
trzy jedności,,trzy jedność,,Słownik Terminów Literackich (Głowiński) | Słownik terminów teatralnych (Patrice Pavis),,
trzy praktyki wyłaniania tożsamości kobiecej,,trzy praktyka wyłaniać tożsamość kobiecy,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
trzynastozgłoskowiec,,trzynastozgłoskowiec,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
tumbakī,,tumbakī,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
turcyk,,turcyki,,"Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
türkü,,türkü,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
turpizm,,turpizm,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9811263705405606,http://www.wikidata.org/entity/Q9363034
tworzywa sceniczne,,tworzywo sceniczny,,Słownik terminów teatralnych (Patrice Pavis),,
tworzywo,,tworzywo,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Od teorii do literatury. Słownik literacki,,
tworzywo artystyczne,,tworzywo artystyczny,,Słownik pojęć i tekstów kultury,,
tworzywo dzieła literackiego,,tworzywo dzieło literacki,,Słownik terminów literackich (Sierotwiński),,
tworzywo filmowe,,tworzywo filmowy,,Słownik pojęć i tekstów kultury,,
tworzywo literackie,,tworzywo literacki,,Od teorii do literatury. Słownik literacki | Słownik pojęć i tekstów kultury,,
twórcza zdrada,,twórczy zdrada,,Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
ty liryczne,,ty liryczny,,Słownik terminów literackich (Sierotwiński),,
ty retoryczne,,ty retoryczny,,Słownik terminów literackich (Sierotwiński),,
typ,,typ,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
typografia,,typografia,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
typologia,,typologia,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
typologia form literackich,,typologia forma literacki,,Słownik Terminów Literackich (Głowiński),,
typologia literacka,,typologia literacki,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury,,
typowość,,typowość,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
tyrada,,tyrada,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
tyrteizm,,tyrteizm,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918",,
tyrtejska poezja,,tyrtejski poezja,,Słownik Terminów Literackich (Głowiński),,
tytulatura,,tytulatura,,Słownik terminów literackich (Sierotwiński),,
tytuł,,tytuł,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
tytuł sztuki,,tytuł sztuka,,Słownik terminów teatralnych (Patrice Pavis),,
über-ich,błąd w lemacie,über - on,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
uczestnictwo,,uczestnictwo,,Słownik terminów teatralnych (Patrice Pavis),,
uczucia,,uczucie,,Słownik terminów teatralnych (Patrice Pavis),,
udziwnienie,błąd w lemacie,udziwniena,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik terminów teatralnych (Patrice Pavis)",,
ujęcie,,ująć,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
ujęcie przepastne,,ujęcie przepastny,,Słownik terminów teatralnych (Patrice Pavis),,
układ,,układ,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
układ formalny,,układ formalny,,Słownik terminów literackich (Sierotwiński),,
układ logiczny,,układ logiczny,,Słownik terminów literackich (Sierotwiński),,
układ motywowo-wątkowy,,układ motywowy - wątkowy,,Słownik terminów literackich (Sierotwiński),,
układ paralelny,,układ paralelny,,Słownik terminów literackich (Sierotwiński),,
układ rozkwitania,,układ rozkwitania,,"Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
układ rymów,,układ rym,,Słownik terminów literackich (Sierotwiński),,
układ rymów otwarty,,układ rym otwarty,,Słownik terminów literackich (Sierotwiński),,
układ rymów zamknięty,,układ rym zamknąć,,Słownik terminów literackich (Sierotwiński),,
układ rzeczowy,,układ rzeczowy,,Słownik terminów literackich (Sierotwiński),,
układ scen,,układ scena,,Słownik terminów teatralnych (Patrice Pavis),,
układ sceniczny,,układ sceniczny,,Słownik terminów teatralnych (Patrice Pavis),,
układ stroficzny,,układ stroficzny,,Słownik terminów literackich (Sierotwiński),,
ukrainizm,,ukrainizm,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
ulotka,,ulotka,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
ultraizm,,ultraizm,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
unanimizm,,unanimizm,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
unheimliche,,unheimliche,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
uniezwyklenie,,uniezwyklić,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje",,
unikat,,unikat,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
uniwersalizm średniowieczny,,uniwersalizm średniowieczny,,Słownik terminów literackich (Sierotwiński),,
uniwersum semiotyczne,,uniwersum semiotyczny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
uniwersytet i teatr,,uniwersytet i teatr,,Słownik terminów teatralnych (Patrice Pavis),,
uosobienie,,uosobić,,Od teorii do literatury. Słownik literacki | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
upadek formalizmu,,upadek formalizm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
upaniṣad,upaniszady,upaniṣad,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
upaniszady,,upaniszady,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
upłciowienie,,upłciowienie,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
upłciowienie człowieka,błąd w lemacie,upłciowienąć człowiek,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
upłciowienie tekstu literackiego,,upłciowienie tekst literacki,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
uporządkowanie naddane,,uporządkowanie naddane,,Słownik Terminów Literackich (Głowiński),,
upostaciowanie,,upostaciować,,Słownik terminów literackich (Sierotwiński),,
uprzedzenie,,uprzedzenie,,Słownik terminów literackich (Sierotwiński),,
urania,,uranium,,Słownik Terminów Literackich (Głowiński),,
uraz,,uraz,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
urbanitas,,urbanitas,,Słownik Terminów Literackich (Głowiński),,
urbanizm,,urbanizm,,Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
urojenie,błędny lemat?,urojeć,,Słownik terminów teatralnych (Patrice Pavis),,
urywek,,urywek,,Słownik terminów literackich (Sierotwiński),,
ustęp,,ustęp,,"Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Mały słownik terminów teorii tekstu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
ustna literatura,,ustny literatura,,Słownik Terminów Literackich (Głowiński),,
ut pictura poesis,,ut pictura poesis,,Słownik Terminów Literackich (Głowiński),,
uta,,uta,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
utopia,,utopia,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Słownik nowych gatunków i zjawisk literackich | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
utopia negatywna,,utopia negatywny,,"Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
utsṛṣṭikāńka,utsrisztikanka,utsṛṣṭikāńka,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
utwór,,utwór,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
utwór literacki,,utwór literacki,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
utwór okolicznościowy,,utwór okolicznościowy,,Słownik terminów literackich (Sierotwiński),,
utylitaryzm,,utylitaryzm,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik literatury polskiej",,
uwaga,,uwaga,,Słownik terminów literackich (Sierotwiński),,
uważne czytanie,,uważny czytać,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
uwcześnienie,,uwcześnienie,,Słownik terminów literackich (Sierotwiński),,
uwertura,,uwertura,,Słownik wiedzy o teatrze | Słownik terminów literackich (Sierotwiński),,
vademecum,,vademecum,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
varia,,varia,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
varietes,,varietes,,Słownik Terminów Literackich (Głowiński),,
vaticinium,,vaticinium,,"Słownik Terminów Literackich (Głowiński) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
verba dicendi et sentiendi,,verbum dicendi et sentiendi,,Słownik Terminów Literackich (Głowiński),,
verba visibilia,,verbum visibilia,,Słownik Terminów Literackich (Głowiński),,
vers commun,,vers commun,,Słownik Terminów Literackich (Głowiński),,
vers libre,,vers libre,,Słownik terminów literackich (Sierotwiński),,
verso,,verso,,Słownik terminów literackich (Sierotwiński),,
versus,,versus,,Słownik terminów literackich (Sierotwiński),,
versus concordantes,,versus concordantes,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
versus correlativi,,versus correlativi,,Słownik terminów literackich (Sierotwiński),,
versus crescentes,,versus crescentes,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
versus decrescentes,,versus decrescentes,,Słownik terminów literackich (Sierotwiński),,
versus fescennini,,versus fescennini,,Słownik Terminów Literackich (Głowiński),,
versus memoriales,,versus memoriales,,"Słownik Terminów Literackich (Głowiński) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
versus politicus,,versus politicus,,,,
versus pythius,,versus pythius,,,,
versus quadratus,,versus quadratus,,Słownik terminów literackich (Sierotwiński),,
versus rapportati,,versus rapportati,,,,
versus recurrentes,,versus recurrentes,,,,
vicitrārthā,wiczitrartha,vicitrārthā,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
vie romancee,vie romancée,vie romancee,,,,
vie romancée,,vie romancée,,Słownik terminów literackich (Sierotwiński),,
vilanella,,vilanella,,Słownik terminów literackich (Sierotwiński),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810593177305606,
vilāsika,wilasika,vilāsika,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
villanella,,villanella,,Ilustrowany słownik terminów literackich,,
villanelle,,villanelle,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
virelai,,virelai,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
vireli,,virel,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
vita,,vita,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
vīthī,withi,vīthī,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
vituperatio,,vituperatio,,Słownik Terminów Literackich (Głowiński),,
volapiik,,volapiik,,Słownik Terminów Literackich (Głowiński),,
volksstiick,,volksstiick,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
volumen,,volumen,,Słownik terminów literackich (Sierotwiński),,
vorgeschichte,,vorgeschichte,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
vyāyoga,wjajoga,vyāyoga,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
wagabunda,,wagabunda,,Słownik Terminów Literackich (Głowiński),,
waganci,,wagant,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Słownik wiedzy o teatrze,,
wagneryzm,,wagneryzm,,Słownik Terminów Literackich (Głowiński),,
wajdelota,,wajdelota,,Słownik pojęć i tekstów kultury,,
waka,,wak,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9811302137205606,
walenrodyzm,,walenrodyzm,,Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej,,
walentynka,,walentynka,,Słownik Terminów Literackich (Głowiński),,
walet,,walet,,Słownik terminów teatralnych (Patrice Pavis),,
waleta,,walet,,Słownik literatury staropolskiej | Słownik Terminów Literackich (Głowiński),,
walka klasyków z romantykami,,walka klasyk z romantyk,,"Słownik Terminów Literackich (Głowiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
wallenrodyzm,,wallenrodyzm,,"Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej",,
wallfahrtslieder,,wallfahrtslieder,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
walterscotyzm,,walterscotyzm,,Słownik Terminów Literackich (Głowiński),,
walterskotyzm,,walterskotyzm,,Słownik literatury polskiej | Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej,,
"waną często: animizacją,",błąd,"wać często : animizacja ,",,Słownik pojęć i tekstów kultury,,
wariant,,wariant,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
wariant redakcyjny utworu,,wariant redakcyjny utwór,,Słownik terminów literackich (Sierotwiński),,
wariant stylistyczny,,wariant stylistyczny,,Słownik terminów literackich (Sierotwiński),,
wariant tekstu,,wariant tekst,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
warstwa w dziele literackim,,warstwa w dziele literacki,,Słownik terminów literackich (Sierotwiński),,
warstwowy charakter dzieła literackiego,,warstwowy charakter dzieło literacki,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
warstwowy układ dzieła literackiego,,warstwowy układ dzieło literacki,,Słownik Terminów Literackich (Głowiński),,
warsztat bibliograficzny,,warsztat bibliograficzny,,Słownik terminów literackich (Sierotwiński),,
warsztat naukowy,,warsztat naukowy,,Słownik terminów literackich (Sierotwiński),,
warsztat pisarski,,warsztat pisarski,,Słownik terminów literackich (Sierotwiński),,
wartości estetyczne łagodne,,wartość estetyczny łagodny,,Słownik Terminów Literackich (Głowiński),,
wartości estetyczne ostre,,wartość estetyczny ostry,,Słownik Terminów Literackich (Głowiński),,
wartościowanie,,wartościowanie,,Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Słownik polskiej krytyki literackiej 1764-1918 | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
wartościowanie dzieła literackiego,,wartościować dzieło literacki,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje",,
wartościowanie tekstów kultury,,wartościować tekst kultura,,Słownik pojęć i tekstów kultury,,
wartość,,wartość,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
wartość estetyczna,,wartość estetyczny,,Słownik Terminów Literackich (Głowiński),,
wartość stylistyczna,,wartość stylistyczny,,Słownik Terminów Literackich (Głowiński),,
wątek,,wątek,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Mały słownik terminów teorii tekstu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
wątek fabularny,,wątek fabularny,,Słownik terminów literackich (Sierotwiński),,
wątek fabularny główny,,wątek fabularny główny,,Słownik terminów literackich (Sierotwiński),,
wątek fabularny opóźniający,,wątek fabularny opóźniać,,Słownik terminów literackich (Sierotwiński),,
wątek fabularny poboczny,,wątek fabularny poboczny,,Słownik terminów literackich (Sierotwiński),,
wątek fabularny przechodni,,wątek fabularny przechodni,,Słownik terminów literackich (Sierotwiński),,
wątek fabularny przyspieszający,,wątek fabularny przyspieszać,,Słownik terminów literackich (Sierotwiński),,
wątek fabularny wprowadzający,,wątek fabularny wprowadzać,,Słownik terminów literackich (Sierotwiński),,
wątek główny,,wątek główny,,Słownik pojęć i tekstów kultury,,
wątek poboczny,,wątek poboczny,,Słownik pojęć i tekstów kultury,,
wątek rytmiczny,,wątek rytmiczny,,Słownik terminów literackich (Sierotwiński),,
wątpienie,błędny lemat,wątpieć,,Słownik terminów literackich (Sierotwiński),,
wdzięk,,wdzięk,,Słownik Terminów Literackich (Głowiński),,
weberlied,,weberlied,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
